Identifier,Code,Start_Year,End_Year,Public,Type,Name_En,Name_Fr,Name_Es,Name_Ar,Name_Zh,Name_Ru,ShortName_En,ShortName_Fr,ShortName_Es,ShortName_Ar,ShortName_Zh,ShortName_Ru,Definition,ScopeNote,HistoryNote,EditorialNote,SubSet
380,ITL,1861,1998,,,Italian Lira,Italian Lira,Italian Lira,,,,Italian Lira,Italian Lira,Italian Lira,,,,,,,,
388,JMD,,,,,Jamaican Dollar,Dollar jamaïcain,Dólar jamaicano,,,,Jamaican Dollar,Dollar jamaïcain,Dólar jamaicano,,,,,,,,
392,JPY,,,,,Yen,Yen,Yen,,,,Yen,Yen,Yen,,,,,,,,
398,KZT,,,,,Tenge,Tenge,Tenge,,,,Tenge,Tenge,Tenge,,,,,,,,
400,JOD,,,,,Jordanian Dinar,Dinar jordanien,Dinar jordano,,,,Jordanian Dinar,Dinar jordanien,Dinar jordano,,,,,,,,
404,KES,,,,,Kenyan Shilling,Shilling du Kenya,Chelín keniano,,,,Kenyan Shilling,Shilling du Kenya,Chelín keniano,,,,,,,,
408,KPW,,,,,North Korean Won,Won de la Corée du Nord,Won de la Corea del Norte,,,,North Korean Won,Won de la Corée du Nord,Won de la Corea del Norte,,,,,,,,
410,KRW,,,,,Won,Won,Won,,,,Won,Won,Won,,,,,,,,
414,KWD,,,,,Kuwaiti Dinar,Dinar koweïtien,Dinar kuwaití,,,,Kuwaiti Dinar,Dinar koweïtien,Dinar kuwaití,,,,,,,,
417,KGS,,,,,Som,Som,Som,,,,Som,Som,Som,,,,,,,,
418,LAK,1980,,,,Lao Kip,Kip,Kip,,,,Lao Kip,Kip,Kip,,,,,,,Start Date removed in SWS,
422,LBP,,,,,Lebanese Pound,Livre libanaise,Libra libanesa,,,,Lebanese Pound,Livre libanaise,Libra libanesa,,,,,,,,
426,LSL,1995,,,,Loti,Loti,Loti,,,,Loti,Loti,Loti,,,,,,,Start Date removed in SWS,
428,LVL,1992,2013,,,Latvian Lats,Lats letton,Lats letón,,,,Latvian Lats,Lats letton,Lats letón,,,,,,,,
430,LRD,,,,,Liberian Dollar,Dollar libérien,Dólar liberiano,,,,Liberian Dollar,Dollar libérien,Dólar liberiano,,,,,,,,
434,LYD,1971,,,,Libyan Dinar,Dinar libyen,Dinar libio,,,,Libyan Dinar,Dinar libyen,Dinar libio,,,,,,,Start Date removed in SWS,
440,LTL,1994,2014,,,Lithuanian Litas,Litas lituanien,Lita lituanesa,,,,Lithuanian Litas,Litas lituanien,Lita lituanesa,,,,,,,,
442,LUF,1994,1998,,,Luxembourg Franc,Luxembourg Franc,Luxembourg Franc,,,,Luxembourg Franc,Luxembourg Franc,Luxembourg Franc,,,,,,,,
446,MOP,,,,,Pataca,Pataca,Pataca,,,,Pataca,Pataca,Pataca,,,,,,,,
450,MGF,1963,2004,,,Malagasy Franc,Malagasy Franc,Malagasy Franc,,,,Malagasy Franc,Malagasy Franc,Malagasy Franc,,,,,,,,
454,MWK,,,,,Malawi Kwacha,Kwacha malawien,Kwacha malawiano,,,,Malawi Kwacha,Kwacha malawien,Kwacha malawiano,,,,,,,,
458,MYR,,,,,Malaysian Ringgit,Ringgit de Malaisie,Ringgit malayo,,,,Malaysian Ringgit,Ringgit de Malaisie,Ringgit malayo,,,,,,,,
462,MVR,1982,,,,Rufiyaa,Rufiyaa,Rifiyaa,,,,Rufiyaa,Rufiyaa,Rifiyaa,,,,,,,Start Date removed in SWS,
466,MLF,1962,1983,,,Malian Franc,Malian Franc,Malian Franc,,,,Malian Franc,Malian Franc,Malian Franc,,,,,,,,
470,MTL,1984,2007,,,Maltese Lira,Livre maltaise,Libra maltesa,,,,Maltese Lira,Livre maltaise,Libra maltesa,,,,,,,,
478,MRO,1973,2017,,,Ouguiya,Ouguija,Ouguiya,,,,Ouguiya,Ouguija,Ouguiya,,,,,,,,
480,MUR,,,,,Mauritius Rupee,Roupie de Maurice,Rupia mauricia,,,,Mauritius Rupee,Roupie de Maurice,Rupia mauricia,,,,,,,,
484,MXN,1993,,,,Mexican Peso,Peso mexicain,Peso mexicano,,,,Mexican Peso,Peso mexicain,Peso mexicano,,,,,,,Start Date removed in SWS,
496,MNT,,,,,Tugrik,Tugrik,Tugrik,,,,Tugrik,Tugrik,Tugrik,,,,,,,,
498,MDL,,,,,Moldovan Leu,Leu de Moldovie,Leu de Moldova,,,,Moldovan Leu,Leu de Moldovie,Leu de Moldova,,,,,,,,
504,MAD,,,,,Moroccan Dirham,Dirham marocain,Dirham marroquí,,,,Moroccan Dirham,Dirham marocain,Dirham marroquí,,,,,,,,
508,MZM,1980,2006,,,Mozambique Metical,Metical,Metical,,,,Mozambique Metical,Metical,Metical,,,,,,,,
512,OMR,,,,,Rial Omani,Rial omanais,Rial omaní,,,,Rial Omani,Rial omanais,Rial omaní,,,,,,,,
516,NAD,1994,,,,Namibia Dollar,Dollar namibien,Dólar namibiano,,,,Namibia Dollar,Dollar namibien,Dólar namibiano,,,,,,,Start Date removed in SWS,
524,NPR,,,,,Nepalese Rupee,Roupie du Népal,Rupia nepalesa,,,,Nepalese Rupee,Roupie du Népal,Rupia nepalesa,,,,,,,,
528,NLG,,1998,,,Netherlands Guilder,Netherlands Guilder,Netherlands Guilder,,,,Netherlands Guilder,Netherlands Guilder,Netherlands Guilder,,,,,,,,
532,ANG,,,,,Netherlands Antillean Guilder,Florin des Antilles,Florín de las Antillas,,,,Netherlands Antillean Guilder,Florin des Antilles,Florín de las Antillas,,,,,,,,
533,AWG,,,,,Aruban Florin,Florin d'Aruba,Florín arubeño,,,,Aruban Florin,Florin d'Aruba,Florín arubeño,,,,,,,,
548,VUV,,,,,Vatu,Vatu,Vatu,,,,Vatu,Vatu,Vatu,,,,,,,,
554,NZD,,,,,New Zealand Dollar,Dollar néo-zélandais,Dólar neozelandés,,,,New Zealand Dollar,Dollar néo-zélandais,Dólar neozelandés,,,,,,,,
558,NIO,1991,,,,Cordoba Oro,Córdoba Oro,Córdoba Oro,,,,Cordoba Oro,Córdoba Oro,Córdoba Oro,,,,,,,Start Date removed in SWS,
566,NGN,,,,,Naira,Naira,Naira,,,,Naira,Naira,Naira,,,,,,,,
578,NOK,,,,,Norwegian Krone,Couronne norvégienne,Corona noruega,,,,Norwegian Krone,Couronne norvégienne,Corona noruega,,,,,,,,
586,PKR,,,,,Pakistan Rupee,Roupie du Pakistan,Rupia paquistaní,,,,Pakistan Rupee,Roupie du Pakistan,Rupia paquistaní,,,,,,,,
590,PAB,,,,,Balboa,Balboa,Balboa,,,,Balboa,Balboa,Balboa,,,,,,,,
598,PGK,,,,,Kina,Kina,Kina,,,,Kina,Kina,Kina,,,,,,,,
600,PYG,,,,,Guarani,Guaraní,Guaraní,,,,Guarani,Guaraní,Guaraní,,,,,,,,
604,PEN,1992,,,,Sol,Sol,Sol,,,,Sol,Sol,Sol,,,,,,,Start Date removed in SWS,
608,PHP,,,,,Philippine Peso,Peso philippin,Peso filipino,,,,Philippine Peso,Peso philippin,Peso filipino,,,,,,,,
616,PLZ,1950,1994,,,Zloty,Zloty,Zloty,,,,Zloty,Zloty,Zloty,,,,,,,,
620,PTE,1911,1998,,,Portuguese Escudo,Portuguese Escudo,Portuguese Escudo,,,,Portuguese Escudo,Portuguese Escudo,Portuguese Escudo,,,,,,,,
624,GWP,1975,1997,,,Guinea-Bissau Peso,Peso de Guinée-Bissau,Peso de Guinea-Bissau,,,,Guinea-Bissau Peso,Peso de Guinée-Bissau,Peso de Guinea-Bissau,,,,,,,,
626,TPE,1959,1976,,,Timor Escudo,Timor Escudo,Timor Escudo,,,,Timor Escudo,Timor Escudo,Timor Escudo,,,,,,,,
634,QAR,,,,,Qatari Rial,Riyal du Qatar,Rial de Qatar,,,,Qatari Rial,Riyal du Qatar,Rial de Qatar,,,,,,,,
642,ROL,1952,2005,,,Romanian Leu,Leu roumain,Leu rumano,,,,Romanian Leu,Leu roumain,Leu rumano,,,,,,,,
643,RUB,1998,,,,Russian Ruble,Rouble russe,Rublo ruso,,,,Russian Ruble,Rouble russe,Rublo ruso,,,,,,,Start Date removed in SWS,
646,RWF,,,,,Rwanda Franc,Franc du Rwanda,Franco ruandés,,,,Rwanda Franc,Franc du Rwanda,Franco ruandés,,,,,,,,
654,SHP,,,,,Saint Helena Pound,Livre de Sainte-Hélène,Libra de Santa Elena,,,,Saint Helena Pound,Livre de Sainte-Hélène,Libra de Santa Elena,,,,,,,,
678,STD,1977,2017,,,Dobra,Dobra,Dobra,,,,Dobra,Dobra,Dobra,,,,,,,,
682,SAR,,,,,Saudi Riyal,Riyal saoudien,Rial saudí,,,,Saudi Riyal,Riyal saoudien,Rial saudí,,,,,,,,
690,SCR,,,,,Seychelles Rupee,Roupie des Seychelles,Rupia de Seychelles,,,,Seychelles Rupee,Roupie des Seychelles,Rupia de Seychelles,,,,,,,,
694,SLL,,,,,Leone,Leone,Leone,,,,Leone,Leone,Leone,,,,,,,,
702,SGD,,,,,Singapore Dollar,Dollar de Singapour,Dólar singapurense,,,,Singapore Dollar,Dollar de Singapour,Dólar singapurense,,,,,,,,
703,SKK,1993,2008,,,Slovak Koruna,Couronne slovaque,Corona eslovaca,,,,Slovak Koruna,Couronne slovaque,Corona eslovaca,,,,,,,,
704,VND,1978,,,,Dong,Dong,Dong,,,,Dong,Dong,Dong,,,,,,,Start Date removed in SWS,
705,SIT,1991,2006,,,Tolar,Tolar,Tolar,,,,Tolar,Tolar,Tolar,,,,,,,,
706,SOS,,,,,Somali Shilling,Shilling de Somalie,Chelín somalí,,,,Somali Shilling,Shilling de Somalie,Chelín somalí,,,,,,,,
710,ZAR,,,,,Rand,Rand,Rand,,,,Rand,Rand,Rand,,,,,,,,
716,ZWD,1980,2006,,,Zimbabwe Dollar,Dollar du Zimbabwe,Dólar de Zimbabwe,,,,Zimbabwe Dollar,Dollar du Zimbabwe,Dólar de Zimbabwe,,,,,,,,
720,YDD,1965,1996,,,Yemeni Dinar,Dinar du Yémen,Dinar yemení,,,,Yemeni Dinar,Dinar du Yémen,Dinar yemení,,,,,,,,
724,ESP,,1998,,,Spanish Peseta,Spanish Peseta,Spanish Peseta,,,,Spanish Peseta,Spanish Peseta,Spanish Peseta,,,,,,,,
728,SSP,,,,,South Sudanese Pound,Livre sud-soudanaise,Libra sursudanesa,,,,South Sudanese Pound,Livre sud-soudanaise,Libra sursudanesa,,,,,,,,
736,SDD,1992,2006,,,Sudanese Dinar,Dinar soudanaise,Dinar sudanesa,,,,Sudanese Dinar,Dinar soudanaise,Dinar sudanesa,,,,,,,,
740,SRG,1942,2003,,,Suriname Guilder,Suriname Guilder,Suriname Guilder,,,,Suriname Guilder,Suriname Guilder,Suriname Guilder,,,,,,,,
748,SZL,,,,,Lilangeni,Lilangeni,Lilangeni,,,,Lilangeni,Lilangeni,Lilangeni,,,,,,,,
752,SEK,,,,,Swedish Krona,Couronne suédoise,Corona sueca,,,,Swedish Krona,Couronne suédoise,Corona sueca,,,,,,,,
756,CHF,,,,,Swiss Franc,Franc suisse,Franco suizo,,,,Swiss Franc,Franc suisse,Franco suizo,,,,,,,,
760,SYP,,,,,Syrian Pound,Livre syrienne,Libra siria,,,,Syrian Pound,Livre syrienne,Libra siria,,,,,,,,
762,TJR,1995,2000,,,Tajikistan Ruble,Tajikistan Ruble,Tajikistan Ruble,,,,Tajikistan Ruble,Tajikistan Ruble,Tajikistan Ruble,,,,,,,,
764,THB,,,,,Baht,Baht,Baht,,,,Baht,Baht,Baht,,,,,,,,
776,TOP,,,,,Pa’anga,Pa'anga,Pa'anga,,,,Pa’anga,Pa'anga,Pa'anga,,,,,,,,
780,TTD,,,,,Trinidad and Tobago Dollar,Dollar de la Trinité et de Tobago,Dólar de Trinidad y Tabago,,,,Trinidad and Tobago Dollar,Dollar de la Trinité et de Tobago,Dólar de Trinidad y Tabago,,,,,,,,
784,AED,,,,,UAE Dirham,Dirham des Émirats Arabes Unis,Dirham de los Emiratos Árabes Unidos,,,,UAE Dirham,Dirham des Émirats Arabes Unis,Dirham de los Emiratos Árabes Unidos,,,,,,,,
788,TND,,,,,Tunisian Dinar,Dinar tunisien,Dinar tunecino,,,,Tunisian Dinar,Dinar tunisien,Dinar tunecino,,,,,,,,
792,TRL,1843,2005,,,Turkish Lira,Livre turque,Lira turca,,,,Turkish Lira,Livre turque,Lira turca,,,,,,,,
795,TMM,1993,2008,,,Turkmenistan Manat,Manat du Turkménistan,Manat de Turkmenistán,,,,Turkmenistan Manat,Manat du Turkménistan,Manat de Turkmenistán,,,,,,,,
800,UGX,1988,,,,Uganda Shilling,Shilling ougandais,Chelín ugandés,,,,Uganda Shilling,Shilling ougandais,Chelín ugandés,,,,,,,Start Date removed in SWS,
804,UAK,1992,1995,,,Karbovanet,Karbovanet,Karbovanet,,,,Karbovanet,Karbovanet,Karbovanet,,,,,,,,
807,MKD,,,,,Denar,Denar,Denar,,,,Denar,Denar,Denar,,,,,,,,
810,RUR,1992,1997,,,Russian Ruble,Rouble russe,Rublo ruso,,,,Russian Ruble,Rouble russe,Rublo ruso,,,,,,,,
818,EGP,,,,,Egyptian Pound,Livre égyptienne,Libra egipcia,,,,Egyptian Pound,Livre égyptienne,Libra egipcia,,,,,,,,
826,GBP,,,,,Pound Sterling,Livre sterling,Libra esterlina,,,,Pound Sterling,Livre sterling,Libra esterlina,,,,,,,,
834,TZS,,,,,Tanzanian Shilling,Shilling de Tanzanie,Chelín tanzano,,,,Tanzanian Shilling,Shilling de Tanzanie,Chelín tanzano,,,,,,,,
840,USD,,,,,US Dollar,Dollar des États-Unis,Dólar de EE.UU.,,,,US Dollar,Dollar des États-Unis,Dólar de EE.UU.,,,,,,,,
858,UYU,1993,,,,Peso Uruguayo,Peso uruguayen,Peso uruguayo,,,,Peso Uruguayo,Peso uruguayen,Peso uruguayo,,,,,,,Start Date removed in SWS,
860,UZS,,,,,Uzbekistan Sum,Soum d'Ouzbékistan,Sum Uzbekistán,,,,Uzbekistan Sum,Soum d'Ouzbékistan,Sum Uzbekistán,,,,,,,,
862,VEB,1896,2007,,,Bolivar,Bolivar,Bolívar,,,,Bolivar,Bolivar,Bolívar,,,,,,,,
882,WST,,,,,Tala,Tala,Tala,,,,Tala,Tala,Tala,,,,,,,,
886,YER,1996,,,,Yemeni Rial,Riyal du Yémen,Rial yemení,,,,Yemeni Rial,Riyal du Yémen,Rial yemení,,,,,,,Start Date removed in SWS,
890,YUN,1990,1992,,,Yugoslavian Dinar,Yugoslavian Dinar,Yugoslavian Dinar,,,,Yugoslavian Dinar,Yugoslavian Dinar,Yugoslavian Dinar,,,,,,,,
891,YUM,1993,2005,,,New  Dinar,New  Dinar,New  Dinar,,,,New  Dinar,New  Dinar,New  Dinar,,,,,,,,
894,ZMK,1968,2012,,,Zambian Kwacha,Kwacha zambien,Kwacha zambiano,,,,Zambian Kwacha,Kwacha zambien,Kwacha zambiano,,,,,,,,
901,TWD,,,,,New Taiwan Dollar,Nouveau dollar de Taïwan,Nuevo dólar taiwanés,,,,New Taiwan Dollar,Nouveau dollar de Taïwan,Nuevo dólar taiwanés,,,,,,,,
928,VES,2018,,,,Bolívar Soberano,Bolivar souverain,Bolívar soberano,,,,Bolívar Soberano,Bolivar souverain,Bolívar soberano,,,,,,,Start Date removed in SWS,
929,MRU,2018,,,,Ouguiya,Ouguiya,Ouguiya,,,,Ouguiya,Ouguiya,Ouguiya,,,,,,,Start Date removed in SWS,
930,STN,2018,,,,Dobra,Dobra,Dobra,,,,Dobra,Dobra,Dobra,,,,,,,Start Date removed in SWS,
931,CUC,,,,,Peso Convertible,Peso Convertible,Peso Convertible,,,,Peso Convertible,Peso Convertible,Peso Convertible,,,,,,,,
932,ZWL,2009,,,,Zimbabwe Dollar,Dollar du Zimbabwe,Dólar de Zimbabwe,,,,Zimbabwe Dollar,Dollar du Zimbabwe,Dólar de Zimbabwe,,,,,,,Start Date removed in SWS,
933,BYN,2016,,,,Belarusian Ruble,Rouble bélorussien,Rublo belaruso,,,,Belarusian Ruble,Rouble bélorussien,Rublo belaruso,,,,,,,Start Date removed in SWS,
934,TMT,2009,,,,Turkmenistan New Manat,Nouveau manat du Turkménistan,Nuevo manat de Turkmenistán,,,,Turkmenistan New Manat,Nouveau manat du Turkménistan,Nuevo manat de Turkmenistán,,,,,,,Start Date removed in SWS,
